level_0,index,pclass,sex,age,sibsp,parch,fare,embarked,survived,family_size,zhenhuaqian
0,0,1,0,29.0,0,0,211.3375,S,1,0,0.0
1,1,1,1,0.9167,1,2,151.55,S,1,3,151.55
2,2,1,0,2.0,1,2,151.55,S,0,3,0.0
3,3,1,1,30.0,1,2,151.55,S,0,3,151.55
4,4,1,0,25.0,1,2,151.55,S,0,3,0.0
5,5,1,1,48.0,0,0,26.55,S,1,0,26.55
6,6,1,0,63.0,1,0,77.9583,S,1,1,0.0
7,7,1,1,39.0,0,0,0.0,S,0,0,0.0
8,8,1,0,53.0,2,0,51.4792,S,1,2,0.0
10,10,1,1,47.0,1,0,227.525,C,0,1,227.525
11,11,1,0,18.0,1,0,227.525,C,1,1,0.0
12,12,1,0,24.0,0,0,69.3,C,1,0,0.0
14,14,1,1,80.0,0,0,30.0,S,1,0,30.0
16,16,1,1,24.0,0,1,247.5208,C,0,1,247.5208
17,17,1,0,50.0,0,1,247.5208,C,1,1,0.0
18,18,1,0,32.0,0,0,76.2917,C,1,0,0.0
19,19,1,1,36.0,0,0,75.2417,C,0,0,75.2417
20,20,1,1,37.0,1,1,52.5542,S,1,2,52.5542
21,21,1,0,47.0,1,1,52.5542,S,1,2,0.0
22,22,1,1,26.0,0,0,30.0,C,1,0,30.0
24,24,1,0,29.0,0,0,221.7792,S,1,0,0.0
26,26,1,1,25.0,1,0,91.0792,C,1,1,91.0792
27,27,1,0,19.0,1,0,91.0792,C,1,1,0.0
28,28,1,0,35.0,0,0,135.6333,S,1,0,0.0
29,29,1,1,28.0,0,0,26.55,S,1,0,26.55
30,30,1,1,45.0,0,0,35.5,S,0,0,35.5
31,31,1,1,40.0,0,0,31.0,C,1,0,31.0
32,32,1,0,30.0,0,0,164.8667,S,1,0,0.0
33,33,1,0,58.0,0,0,26.55,S,1,0,0.0
34,34,1,1,42.0,0,0,26.55,S,0,0,26.55
36,36,1,0,22.0,0,1,55.0,S,1,1,0.0
38,38,1,1,41.0,0,0,30.5,S,0,0,30.5
39,39,1,1,48.0,0,0,50.4958,C,0,0,50.4958
41,41,1,0,44.0,0,0,27.7208,C,1,0,0.0
42,42,1,0,59.0,2,0,51.4792,S,1,2,0.0
43,43,1,0,60.0,0,0,76.2917,C,1,0,0.0
44,44,1,0,41.0,0,0,134.5,C,1,0,0.0
45,45,1,1,45.0,0,0,26.55,S,0,0,26.55
47,47,1,1,42.0,0,0,26.2875,S,1,0,26.2875
49,49,1,1,36.0,0,1,512.3292,C,1,1,512.3292
50,50,1,0,58.0,0,1,512.3292,C,1,1,0.0
51,51,1,1,33.0,0,0,5.0,S,0,0,5.0
54,54,1,1,11.0,1,2,120.0,S,1,3,120.0
55,55,1,0,14.0,1,2,120.0,S,1,3,0.0
56,56,1,1,36.0,1,2,120.0,S,1,3,120.0
57,57,1,0,36.0,1,2,120.0,S,1,3,0.0
60,60,1,1,36.0,1,0,78.85,S,0,1,78.85
61,61,1,0,76.0,1,0,78.85,S,1,1,0.0
62,62,1,1,46.0,1,0,61.175,S,0,1,61.175
63,63,1,0,47.0,1,0,61.175,S,1,1,0.0
64,64,1,1,27.0,1,0,53.1,S,1,1,53.1
65,65,1,0,33.0,1,0,53.1,S,1,1,0.0
66,66,1,0,36.0,0,0,262.375,C,1,0,0.0
67,67,1,0,30.0,0,0,86.5,S,1,0,0.0
68,68,1,1,45.0,0,0,29.7,C,1,0,29.7
71,71,1,1,27.0,1,0,136.7792,C,0,1,136.7792
72,72,1,0,26.0,1,0,136.7792,C,1,1,0.0
75,75,1,1,47.0,0,0,25.5875,S,0,0,25.5875
76,76,1,0,39.0,1,1,83.1583,C,1,2,0.0
77,77,1,1,37.0,1,1,83.1583,C,0,2,83.1583
78,78,1,0,64.0,0,2,83.1583,C,1,2,0.0
79,79,1,0,55.0,2,0,25.7,S,1,2,0.0
81,81,1,1,70.0,1,1,71.0,S,0,2,71.0
82,82,1,0,36.0,0,2,71.0,S,1,2,0.0
83,83,1,0,64.0,1,1,26.55,S,1,2,0.0
84,84,1,1,39.0,1,0,71.2833,C,0,1,71.2833
85,85,1,0,38.0,1,0,71.2833,C,1,1,0.0
86,86,1,1,51.0,0,0,26.55,S,1,0,26.55
89,89,1,1,31.0,1,0,52.0,S,0,1,52.0
90,90,1,0,27.0,1,2,52.0,S,1,3,0.0
91,91,1,1,31.0,1,0,57.0,S,1,1,57.0
92,92,1,0,17.0,1,0,57.0,S,1,1,0.0
93,93,1,1,53.0,1,1,81.8583,S,1,2,81.8583
94,94,1,1,4.0,0,2,81.8583,S,1,2,81.8583
95,95,1,0,54.0,1,1,81.8583,S,1,2,0.0
96,96,1,1,50.0,1,0,106.425,C,0,1,106.425
97,97,1,0,27.0,1,1,247.5208,C,1,2,0.0
98,98,1,0,48.0,1,0,106.425,C,1,1,0.0
99,99,1,0,48.0,1,0,39.6,C,1,1,0.0
100,100,1,1,49.0,1,0,56.9292,C,1,1,56.9292
101,101,1,1,39.0,0,0,29.7,C,0,0,29.7
102,102,1,0,23.0,0,1,83.1583,C,1,1,0.0
103,103,1,0,38.0,0,0,227.525,C,1,0,0.0
104,104,1,0,54.0,1,0,78.2667,C,1,1,0.0
105,105,1,0,36.0,0,0,31.6792,C,0,0,0.0
109,109,1,1,36.0,0,0,26.3875,S,1,0,26.3875
110,110,1,1,30.0,0,0,27.75,C,0,0,27.75
111,111,1,0,24.0,3,2,263.0,S,1,5,0.0
112,112,1,0,28.0,3,2,263.0,S,1,5,0.0
113,113,1,0,23.0,3,2,263.0,S,1,5,0.0
114,114,1,1,19.0,3,2,263.0,S,0,5,263.0
115,115,1,1,64.0,1,4,263.0,S,0,5,263.0
116,116,1,0,60.0,1,4,263.0,S,1,5,0.0
117,117,1,0,30.0,0,0,56.9292,C,1,0,0.0
120,120,1,1,43.0,1,0,27.7208,C,1,1,27.7208
122,122,1,0,22.0,0,2,49.5,C,1,2,0.0
123,123,1,1,60.0,1,1,79.2,C,1,2,79.2
124,124,1,0,48.0,1,1,79.2,C,1,2,0.0
126,126,1,1,37.0,1,0,53.1,S,0,1,53.1
127,127,1,0,35.0,1,0,53.1,S,1,1,0.0
128,128,1,1,47.0,0,0,38.5,S,0,0,38.5
129,129,1,0,35.0,0,0,211.5,C,1,0,0.0
132,132,1,1,24.0,0,0,79.2,C,0,0,79.2
133,133,1,1,49.0,1,0,89.1042,C,1,1,89.1042
135,135,1,1,71.0,0,0,34.6542,C,0,0,34.6542
136,136,1,1,53.0,0,0,28.5,C,1,0,28.5
137,137,1,0,19.0,0,0,30.0,S,1,0,0.0
138,138,1,1,38.0,0,1,153.4625,S,0,1,153.4625
139,139,1,0,58.0,0,1,153.4625,S,1,1,0.0
140,140,1,1,23.0,0,1,63.3583,C,1,1,63.3583
141,141,1,0,45.0,0,1,63.3583,C,1,1,0.0
142,142,1,1,46.0,0,0,79.2,C,0,0,79.2
143,143,1,1,25.0,1,0,55.4417,C,1,1,55.4417
144,144,1,0,25.0,1,0,55.4417,C,1,1,0.0
145,145,1,1,48.0,1,0,76.7292,C,1,1,76.7292
146,146,1,0,49.0,1,0,76.7292,C,1,1,0.0
148,148,1,1,45.0,1,0,83.475,S,0,1,83.475
149,149,1,0,35.0,1,0,83.475,S,1,1,0.0
150,150,1,1,40.0,0,0,0.0,S,0,0,0.0
151,151,1,1,27.0,0,0,76.7292,C,1,0,76.7292
153,153,1,0,24.0,0,0,83.1583,C,1,0,0.0
154,154,1,1,55.0,1,1,93.5,S,0,2,93.5
155,155,1,0,52.0,1,1,93.5,S,1,2,0.0
156,156,1,1,42.0,0,0,42.5,S,0,0,42.5
158,158,1,1,55.0,0,0,50.0,S,0,0,50.0
159,159,1,0,16.0,0,1,57.9792,C,1,1,0.0
160,160,1,0,44.0,0,1,57.9792,C,1,1,0.0
161,161,1,0,51.0,1,0,77.9583,S,1,1,0.0
165,165,1,1,38.0,1,0,90.0,S,1,1,90.0
167,167,1,0,35.0,1,0,90.0,S,1,1,0.0
169,169,1,0,50.0,0,0,28.7125,C,0,0,0.0
170,170,1,1,49.0,0,0,0.0,S,1,0,0.0
172,172,1,1,50.0,0,0,26.0,S,0,0,26.0
173,173,1,1,32.5,0,0,211.5,C,0,0,211.5
174,174,1,1,58.0,0,0,29.7,C,0,0,29.7
175,175,1,1,41.0,1,0,51.8625,S,0,1,51.8625
177,177,1,1,42.0,1,0,52.5542,S,1,1,52.5542
178,178,1,0,45.0,1,0,52.5542,S,1,1,0.0
181,181,1,0,49.0,0,0,25.9292,S,1,0,0.0
183,183,1,1,35.0,0,0,512.3292,C,1,0,512.3292
187,187,1,0,16.0,0,1,39.4,S,1,1,0.0
188,188,1,0,51.0,0,1,39.4,S,1,1,0.0
189,189,1,1,29.0,0,0,30.0,S,0,0,30.0
190,190,1,0,21.0,0,0,77.9583,S,1,0,0.0
192,192,1,0,58.0,0,0,146.5208,C,1,0,0.0
193,193,1,0,15.0,0,1,211.3375,S,1,1,0.0
194,194,1,1,30.0,0,0,26.0,S,0,0,26.0
195,195,1,0,16.0,0,0,86.5,S,1,0,0.0
197,197,1,1,19.0,1,0,53.1,S,0,1,53.1
198,198,1,0,18.0,1,0,53.1,S,1,1,0.0
199,199,1,0,24.0,0,0,49.5042,C,1,0,0.0
200,200,1,1,46.0,0,0,75.2417,C,0,0,75.2417
201,201,1,1,54.0,0,0,51.8625,S,0,0,51.8625
202,202,1,1,36.0,0,0,26.2875,S,1,0,26.2875
205,205,1,1,65.0,0,0,26.55,S,0,0,26.55
206,206,1,1,44.0,2,0,90.0,Q,0,2,90.0
207,207,1,0,33.0,1,0,90.0,Q,1,1,0.0
208,208,1,0,37.0,1,0,90.0,Q,1,1,0.0
209,209,1,1,30.0,1,0,57.75,C,1,1,57.75
210,210,1,1,55.0,0,0,30.5,S,0,0,30.5
212,212,1,1,37.0,0,1,29.7,C,0,1,29.7
213,213,1,0,31.0,1,0,113.275,C,1,1,0.0
214,214,1,0,23.0,1,0,113.275,C,1,1,0.0
215,215,1,1,58.0,0,2,113.275,C,0,2,113.275
216,216,1,0,19.0,0,2,26.2833,S,1,2,0.0
218,218,1,0,39.0,0,0,108.9,C,1,0,0.0
220,220,1,0,22.0,0,1,61.9792,C,1,1,0.0
221,221,1,1,65.0,0,1,61.9792,C,0,1,61.9792
222,222,1,1,28.5,0,0,27.7208,C,0,0,27.7208
224,224,1,1,45.5,0,0,28.5,S,0,0,28.5
225,225,1,1,23.0,0,0,93.5,S,0,0,93.5
226,226,1,1,29.0,1,0,66.6,S,0,1,66.6
227,227,1,0,22.0,1,0,66.6,S,1,1,0.0
228,228,1,1,18.0,1,0,108.9,C,0,1,108.9
229,229,1,0,17.0,1,0,108.9,C,1,1,0.0
230,230,1,0,30.0,0,0,93.5,S,1,0,0.0
231,231,1,1,52.0,0,0,30.5,S,1,0,30.5
232,232,1,1,47.0,0,0,52.0,S,0,0,52.0
233,233,1,0,56.0,0,1,83.1583,C,1,1,0.0
238,238,1,0,43.0,0,1,211.3375,S,1,1,0.0
239,239,1,1,31.0,0,0,50.4958,S,0,0,50.4958
